COLL_NOM,DELIB_ID,type,DELIB_DATE,DELIB_OBJET,DELIB_URL
Communauté de Communes des Pyrénées Audoises,N/A,ODJ,2026-02-01,ODJ+Conseil+du+5+février+2026.pdf,https://www.pyreneesaudoises.fr/app/download/12280273591/ODJ+Conseil+du+5+f%C3%A9vrier+2026.pdf
Communauté de Communes des Pyrénées Audoises,N/A,PV,2026-02-01,pv-de-carence-absence-de-quorum.pdf,https://www.pyreneesaudoises.fr/app/download/12280743791/pv-de-carence-absence-de-quorum.pdf
Communauté de Communes des Pyrénées Audoises,DC-2025-074,Deliberation,2026-02-01,DC+2026-002-Retrait-deliberation-dc-2025-074-relative-nouvelle-offre-eau-et-assainissement.pdf,https://www.pyreneesaudoises.fr/app/download/12286931491/DC+2026-002-Retrait-deliberation-dc-2025-074-relative-nouvelle-offre-eau-et-assainissement.pdf
Communauté de Communes des Pyrénées Audoises,N/A,Deliberation,2026-02-01,DC+2026-003-Smmar-eptb-aude-designation-delegue-suppleant.pdf,https://www.pyreneesaudoises.fr/app/download/12286931591/DC+2026-003-Smmar-eptb-aude-designation-delegue-suppleant.pdf
Communauté de Communes des Pyrénées Audoises,N/A,Deliberation,2026-02-01,DC+2026-004-Allocations-compensatrices-definitives-2025.pdf,https://www.pyreneesaudoises.fr/app/download/12286931691/DC+2026-004-Allocations-compensatrices-definitives-2025.pdf
Communauté de Communes des Pyrénées Audoises,N/A,Deliberation,2026-02-01,DC+2026-005-Allocations-compensatrices-provisoires-2026.pdf,https://www.pyreneesaudoises.fr/app/download/12286931991/DC+2026-005-Allocations-compensatrices-provisoires-2026.pdf
Communauté de Communes des Pyrénées Audoises,N/A,Deliberation,2026-02-01,DC+2026-006-Attribution-fonds-de-concours-2025-campagna-de-sault.pdf,https://www.pyreneesaudoises.fr/app/download/12286932091/DC+2026-006-Attribution-fonds-de-concours-2025-campagna-de-sault.pdf
Communauté de Communes des Pyrénées Audoises,N/A,Deliberation,2026-02-01,DC+2026-007-Attribution-fonds-de-concours-2025-belfort-sur-rebenty.pdf,https://www.pyreneesaudoises.fr/app/download/12286932191/DC+2026-007-Attribution-fonds-de-concours-2025-belfort-sur-rebenty.pdf
Communauté de Communes des Pyrénées Audoises,N/A,Deliberation,2026-02-01,DC+2026-008-Constitution-d-un-groupement-de-commandes-verifications-obligatoires-batiments-et-aires-de-jeux.pdf,https://www.pyreneesaudoises.fr/app/download/12286932291/DC+2026-008-Constitution-d-un-groupement-de-commandes-verifications-obligatoires-batiments-et-aires-de-jeux.pdf
Communauté de Communes des Pyrénées Audoises,N/A,Deliberation,2026-02-01,DC+2026-009-Avenant-au-marche-de-maitrise-d-oeuvre-pole-familles.pdf,https://www.pyreneesaudoises.fr/app/download/12286932691/DC+2026-009-Avenant-au-marche-de-maitrise-d-oeuvre-pole-familles.pdf
